date,ABNAMRO,Axis,Baroda,Benchmark,Birla,BNP,BOI,CanRobeco,Daiwa,DBS,Deustche,DSP,Edelweiss,Fidelity,Fortis,FT,Goldman,HDFC,HSBC,ICICI,IDBI,IDFC,IIFCL,IIFL,ILFS,Indiabulls,ING,Invesco,ITI,JM,JPMorgan,Kotak,L&T,LIC,Mahindra,Mirae,Morgan,MOSL,Navi,Nippon,NJ,PGIM,Pinebridge,PPFAS,Principal,Quant,Quantum,Samco,SBI,Shinsei,Shriram,StanC,Sundaram,Tata,Taurus,Trust,Union,UTI,WhiteOak
Mar-07,"4,367",0,102,"4,250","22,014",0,0,"2,152",0.0,"2,499","4,545","12,849",0,"5,692",0,"22,360",0,"31,959","12,782","43,750",0,0,0.0,0,0,0,"3,958","1,424",0,"3,522",0,"10,929",0,"10,811",0,0,"2,822",0,0,"47,665",0,0,0,0,"10,862",106,50,0.0,"18,984",0.0,0,"13,968","6,516","14,492",272,0,0,"37,613",0
Mar-08,"6,177",0,70,"3,320","35,906",0,0,"2,885",0.0,"2,372","12,816","18,402",0,"8,359",0,"26,733",0,"44,773","14,915","54,322",0,0,0.0,0,0,0,"8,819","7,925",0,"12,945","2,171","18,071",0,"14,053",0,"1,107","3,205",0,0,"90,938",0,0,"3,131",0,"13,207",143,64,0.0,"29,179",0.0,0,"12,733","11,645","19,679",320,0,0,"48,983",0
Mar-09,0,0,"1,131","1,069","47,096",0,197,"4,744",0.0,"1,023","9,103","14,413",22,"6,173","5,811","19,108",0,"57,956","9,575","51,433",0,"14,362",0.0,0,0,0,"2,529","6,023",0,"4,788","2,454","18,204",0,"23,090",0,162,"1,346",0,0,"80,963",0,0,"1,377",0,"6,757",182,57,0.0,"26,383",0.0,0,0,"7,140","17,030",208,0,0,"48,754",0
Mar-10,0,"3,552","3,574","1,999","62,343",0,549,"9,220",0.0,0,"10,477","21,491",149,"7,684","7,890","33,290",0,"88,780","6,215","80,989",0,"25,604",0.0,0,0,0,"1,547","12,945",0,"7,997","3,541","34,681","2,511","42,304",0,251,"2,257",0,303,"110,413",0,0,"1,138",0,"6,997",203,92,0.0,"37,417",367.0,0,0,"13,473","21,935","2,307",0,0,"80,218",0
Mar-11,0,"8,302","2,585","3,404","63,696","4,674",289,"7,824",244.0,0,"8,187","30,601",182,"9,074",0,"37,883",0,"86,282","4,452","73,465","3,528","21,292",0.0,0,0,0,"1,301","11,505",0,"5,918","3,410","32,202","4,030","11,196",0,380,"2,076",301,"4,202","101,577",0,"1,629",796,0,"5,246",197,124,0.0,"41,672",0.0,0,0,"14,479","22,681","2,560",0,0,"67,189",0
Mar-12,0,"8,815","4,191",0,"61,143","4,421",152,"7,663",797.0,0,"12,145","29,298",373,"8,688",0,"34,493","4,264","89,879","4,859","68,718","5,482","25,450",0.0,72,0,"1,938","1,046","10,465",0,"5,885","6,369","25,738","3,898","5,799",0,444,"2,053",367,"3,801","78,112",0,"1,854",679,0,"4,126",213,191,0.0,"42,042",0.0,0,0,"14,099","19,818","3,744",0,"1,377","58,922",0
Mar-13,0,"12,114","7,303",0,"77,046","3,726","1,104","8,851",266.0,0,"18,114","32,342",259,0,0,"41,564","4,800","101,720","5,230","87,835","6,249","32,886",0.0,210,0,"2,639",993,"14,202",0,"7,411","15,856","35,361","11,169","7,185",0,540,"2,660",539,"4,875","94,580",0,"2,592","1,099",0,"5,573",255,280,0.0,"54,905",0.0,0,0,"14,871","19,897","4,731",0,"3,118","69,450",0
Mar-14,0,"16,154","8,106",0,"89,051","3,446","1,991","6,499",0.0,0,"18,795","31,966",169,0,0,"45,404","3,764","112,963","7,659","106,822","5,929","41,349",168.0,234,415,"1,097",564,"14,496",0,"6,046","16,248","33,079","18,255","10,584",0,692,"2,572",489,"4,046","103,542",0,"2,411",649,340,"4,134",269,356,0.0,"65,499",0.0,24,0,"16,422","21,954","3,532",0,"2,847","74,233",0
Mar-15,0,"26,624","7,173",0,"119,752","3,915","3,518","7,617",0.0,0,"22,427","39,060",755,0,0,"70,444","8,038","161,634","8,242","148,559","7,344","51,715",331.0,346,882,"3,590",0,"21,009",0,"12,231","15,641","41,378","22,497","9,313",0,"1,818",0,"2,114","1,302","137,124",0,"2,309",0,575,"6,218",254,575,0.0,"74,942",0.0,34,0,"21,875","26,968","4,150",0,"2,726","92,751",0
Mar-16,0,"37,688","9,656",0,"136,503","5,097","2,385","7,968",0.0,0,0,"40,151","1,678",0,0,"66,947","6,101","175,779","7,274","175,881","6,835","52,129",358.0,485,923,"5,290",0,"19,579",0,"16,161","6,415","58,495","25,945","13,156",0,"3,133",0,"4,689",985,"158,408",0,"25,987",0,614,"5,281",286,636,0.0,"106,781",0.0,37,0,"23,664","31,862","3,949",0,"2,902","106,309",0
Mar-17,0,"57,700","10,324",0,"195,049","5,891","3,552","9,940",0.0,0,0,"65,199","6,918",0,0,"81,615",0,"237,178","8,812","242,961","7,719","60,636",412.0,565,"1,020","10,820",0,"23,528",0,"13,668",0,"92,216","39,300","21,475","1,995","7,457",0,"8,115","1,062","210,891",0,"26,117",0,696,"5,354",243,962,0.0,"157,025",0.0,41,0,"29,370","42,619","1,876",0,"3,416","136,810",0
Mar-18,0,"77,325","13,022",0,"247,529","8,159","5,802","12,496",0.0,0,0,"86,326","12,100",0,0,"103,152",0,"300,549","10,261","305,739","10,760","69,919",650.0,793,"1,274","10,714",0,"26,203",0,"16,365",0,"124,691","65,932","20,118","3,368","15,756",0,"17,735","1,540","244,904",0,"23,595",0,"1,010","7,201",231,"1,203",0.0,"217,649",0.0,43,0,"34,306","46,977",509,0,"4,305","154,939",0
Mar-19,0,"89,720","11,320",0,"246,480","7,209","3,626","14,583",0.0,0,0,"78,363","11,665",0,0,"118,912",0,"342,291","11,054","320,793","9,266","69,352",580.0,"1,640","1,593","4,808",0,"23,990",0,"8,712",0,"150,099","70,944","15,240","4,748","24,191",0,"19,090","1,416","233,617",0,"7,627",0,"1,805","7,091",196,"1,360",0.0,"283,807",0.0,124,0,"30,497","54,194",424,0,"4,259","159,694","2,000"
Mar-21,0,"196,549","9,641",0,"269,278","7,837","2,289","28,273",0.0,0,0,"97,386","46,849",0,0,"82,553",0,"415,566","10,385","405,406","4,120","122,131",592.0,"2,370","1,679",664,0,"36,795","1,179","2,389",0,"233,780","72,728","16,927","5,271","69,598",0,"25,460",698,"228,586",0,"6,527",0,"8,720","7,768",722,"1,786",0.0,"504,455",0.0,203,0,"32,052","62,078",475,625,"5,240","182,853",110
Mar-22,0,"259,818","21,393",0,"295,805",0,"2,750","47,956",0.0,0,0,"107,911","78,642",0,0,"62,876",0,"432,085","12,637","468,197","4,121","121,032",625.0,"4,264","1,338",544,0,"43,863","2,718","2,318",0,"284,618","75,592","17,817","8,805","100,909",0,"30,620","1,039","283,261","5,247","16,492",0,"23,114",0,"6,506","1,784",367.0,"647,067",0.0,220,0,"43,107","86,713",511,"1,218","8,147","223,842",105
